model	Precision@5	Recall@5	F1@5	NDCG@5	Gini@5	EPC@5	APLT@5
top5_drop0.2_ml1m_s=6_CompGCN_k=64_l=3.tsv	0.8048	0.4587	0.4951	0.9455	0.7707	0.6573	0.0633
top5_drop0.2_ml1m_s=8_CompGCN_k=64_l=3.tsv	0.8093	0.4616	0.4982	0.9448	0.7604	0.6621	0.0701
top5_drop0.2_ml1m_s=7_CompGCN_k=64_l=3.tsv	0.8057	0.4596	0.4960	0.9447	0.7776	0.6569	0.0639	
top5_drop0.4_ml1m_s=1_CompGCN_k=64_l=1.tsv	0.8023	0.4572	0.4937	0.9430	0.7458	0.6658	0.0851
top5_drop0.4_ml1m_s=2_CompGCN_k=64_l=1.tsv	0.7934	0.4535	0.4889	0.9378	0.7578	0.6591	0.0657
top5_drop0.4_ml1m_s=3_CompGCN_k=64_l=1.tsv	0.8002	0.4569	0.4929	0.9409	0.7472	0.6674	0.0878
top5_drop0.4_ml1m_s=4_CompGCN_k=64_l=1.tsv	0.8041	0.4586	0.4950	0.9432	0.7692	0.6563	0.0602
top5_drop0.4_ml1m_s=5_CompGCN_k=64_l=1.tsv	0.8003	0.4571	0.4930	0.9436	0.7650	0.6610	0.0708
top5_drop0.4_ml1m_s=6_CompGCN_k=64_l=1.tsv	0.7950	0.4543	0.4899	0.9413	0.7843	0.6430	0.0612
top5_drop0.4_ml1m_s=8_CompGCN_k=64_l=1.tsv	0.8001	0.4579	0.4936	0.9416	0.7524	0.6638	0.0677
top5_drop0.4_ml1m_s=7_CompGCN_k=64_l=1.tsv	0.7962	0.4542	0.4901	0.9413	0.7710	0.6562	0.0712
top5_drop0.4_ml1m_s=1_CompGCN_k=64_l=2.tsv	0.8057	0.4590	0.4955	0.9438	0.7563	0.6692	0.0783
top5_drop0.4_ml1m_s=2_CompGCN_k=64_l=2.tsv	0.8059	0.4593	0.4959	0.9446	0.7632	0.6596	0.0633
top5_drop0.4_ml1m_s=3_CompGCN_k=64_l=2.tsv	0.8033	0.4598	0.4955	0.9431	0.7626	0.6615	0.0739
top5_drop0.4_ml1m_s=4_CompGCN_k=64_l=2.tsv	0.8039	0.4589	0.4951	0.9425	0.7628	0.6538	0.0700
top5_drop0.4_ml1m_s=5_CompGCN_k=64_l=2.tsv	0.8045	0.4588	0.4950	0.9436	0.7791	0.6571	0.0661
top5_drop0.4_ml1m_s=6_CompGCN_k=64_l=2.tsv	0.8003	0.4567	0.4926	0.9404	0.7427	0.6675	0.0740
top5_drop0.4_ml1m_s=8_CompGCN_k=64_l=2.tsv	0.7972	0.4534	0.4894	0.9374	0.7369	0.6687	0.0918
top5_drop0.4_ml1m_s=7_CompGCN_k=64_l=2.tsv	0.7993	0.4574	0.4927	0.9415	0.7658	0.6538	0.0633
top5_drop0.4_ml1m_s=1_CompGCN_k=64_l=3.tsv	0.8022	0.4574	0.4938	0.9438	0.7504	0.6642	0.0803
top5_drop0.4_ml1m_s=2_CompGCN_k=64_l=3.tsv	0.7965	0.4550	0.4907	0.9400	0.7576	0.6624	0.0782
top5_drop0.4_ml1m_s=3_CompGCN_k=64_l=3.tsv	0.8029	0.4578	0.4942	0.9435	0.7725	0.6539	0.0707
top5_drop0.4_ml1m_s=4_CompGCN_k=64_l=3.tsv	0.7995	0.4569	0.4926	0.9421	0.7261	0.6761	0.0897
top5_drop0.4_ml1m_s=5_CompGCN_k=64_l=3.tsv	0.7919	0.4534	0.4882	0.9364	0.7514	0.6558	0.0734
top5_drop0.4_ml1m_s=6_CompGCN_k=64_l=3.tsv	0.7990	0.4557	0.4919	0.9421	0.7725	0.6512	0.0605
top5_drop0.4_ml1m_s=8_CompGCN_k=64_l=3.tsv	0.8035	0.4585	0.4947	0.9440	0.7489	0.6629	0.0701
top5_drop0.4_ml1m_s=7_CompGCN_k=64_l=3.tsv	0.8007	0.4570	0.4931	0.9423	0.7795	0.6511	0.0663
top5_drop0.6_ml1m_s=1_CompGCN_k=64_l=1.tsv	0.7964	0.4551	0.4909	0.9413	0.7502	0.6577	0.0872
top5_drop0.6_ml1m_s=2_CompGCN_k=64_l=1.tsv	0.7758	0.4456	0.4792	0.9293	0.7392	0.6556	0.0814
top5_drop0.6_ml1m_s=3_CompGCN_k=64_l=1.tsv	0.7922	0.4534	0.4889	0.9376	0.7532	0.6590	0.0918
top5_drop0.6_ml1m_s=4_CompGCN_k=64_l=1.tsv	0.7975	0.4565	0.4918	0.9398	0.7771	0.6529	0.0545
top5_drop0.6_ml1m_s=5_CompGCN_k=64_l=1.tsv	0.7940	0.4542	0.4894	0.9401	0.7534	0.6635	0.0813
top5_drop0.6_ml1m_s=6_CompGCN_k=64_l=1.tsv	0.7804	0.4478	0.4824	0.9348	0.7779	0.6360	0.0635
top5_drop0.6_ml1m_s=8_CompGCN_k=64_l=1.tsv	0.7876	0.4514	0.4863	0.9360	0.7454	0.6583	0.0830
top5_drop0.6_ml1m_s=7_CompGCN_k=64_l=1.tsv	0.7679	0.4432	0.4759	0.9231	0.7198	0.6640	0.1130
top5_drop0.6_ml1m_s=1_CompGCN_k=64_l=2.tsv	0.7907	0.4524	0.4874	0.9367	0.7407	0.6643	0.1012
top5_drop0.6_ml1m_s=2_CompGCN_k=64_l=2.tsv	0.7903	0.4500	0.4855	0.9350	0.7657	0.6463	0.0628
top5_drop0.6_ml1m_s=3_CompGCN_k=64_l=2.tsv	0.7888	0.4537	0.4881	0.9359	0.7446	0.6514	0.0810
top5_drop0.6_ml1m_s=4_CompGCN_k=64_l=2.tsv	0.7928	0.4541	0.4893	0.9386	0.7706	0.6463	0.0638
top5_drop0.6_ml1m_s=5_CompGCN_k=64_l=2.tsv	0.7928	0.4537	0.4887	0.9369	0.7840	0.6493	0.0638
top5_drop0.6_ml1m_s=6_CompGCN_k=64_l=2.tsv	0.7872	0.4493	0.4843	0.9345	0.7477	0.6548	0.0696
top5_drop0.6_ml1m_s=8_CompGCN_k=64_l=2.tsv	0.7799	0.4473	0.4812	0.9312	0.7375	0.6585	0.0896
top5_drop0.6_ml1m_s=7_CompGCN_k=64_l=2.tsv	0.7880	0.4511	0.4859	0.9354	0.7601	0.6541	0.0731
top5_drop0.6_ml1m_s=1_CompGCN_k=64_l=3.tsv	0.7903	0.4528	0.4876	0.9391	0.7354	0.6689	0.0973
top5_drop0.6_ml1m_s=2_CompGCN_k=64_l=3.tsv	0.7869	0.4496	0.4844	0.9349	0.7698	0.6442	0.0757
top5_drop0.6_ml1m_s=3_CompGCN_k=64_l=3.tsv	0.7930	0.4517	0.4875	0.9373	0.7729	0.6526	0.0877
top5_drop0.6_ml1m_s=4_CompGCN_k=64_l=3.tsv	0.7748	0.4458	0.4788	0.9282	0.6977	0.6707	0.1101
top5_drop0.6_ml1m_s=5_CompGCN_k=64_l=3.tsv	0.7681	0.4426	0.4753	0.9263	0.7641	0.6290	0.0561
